Frame, Time, dT, U, U0, U1, U2, V, V0, V1, V2, T0, T1, T2, N, N0, N1, N2, mfp, mct, P0, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16, P17, P18, P19
52,1.782189,0.0265411,9977.593,0,9977.593,0,8000,4.000092,7996,0,NaN,9.635299E+14,NaN,50000,0,50000,0,0.3029135,0.1521863,0,0,0,0,0,0,0.5836473,0,0,0,0.3039743,0.2123034,0.6853726,0.2262127,0,0,0,0,0.2164638,0
53,1.808363,0.0261743,9977.596,0,9977.596,0,8000,4.000092,7996,0,NaN,9.635302E+14,NaN,50000,0,50000,0,0.3150404,0.1582972,0,0,0,0,0,0,0.6711875,0,0,0,0.565585,0.5221798,0.7317309,0.2680253,0,0,0,0,0.5203601,0
54,1.835141,0.0267783,9977.599,0,9977.599,0,8000,4.000092,7996,0,NaN,9.635305E+14,NaN,50000,0,50000,0,0.327479,0.1644567,0,0,0,0,0,0,0.5108874,0,0,0,0.5458688,0.636519,0.5458258,0.3191046,0,0,0,0,0.2900153,0
55,1.861579,0.0264374,9977.596,0,9977.596,0,8000,4.000092,7996,0,NaN,9.635302E+14,NaN,50000,0,50000,0,0.3383511,0.1699496,0,0,0,0,0,0,0.4315155,0,0,0,0.5451145,0.559816,0.5139465,0.3536774,0,0,0,0,0.3493213,0
56,1.887891,0.0263124,9977.589,0,9977.589,0,8000,4.000092,7996,0,NaN,9.635295E+14,NaN,50000,0,50000,0,0.3495572,0.1754815,0,0,0,0,0,0,0.6153176,0,0,0,0.447877,0.7072081,0.6722116,0.1032786,0,0,0,0,0.622627,0
57,1.914023,0.0261321,9977.586,0,9977.586,0,8000,4.000092,7996,0,NaN,9.635293E+14,NaN,50000,0,50000,0,0.3608935,0.1811045,0,0,0,0,0,0,0.4993309,0,0,0,0.6698343,0.504521,0.5949957,0.2712532,0,0,0,0,0.5431628,0
58,1.94037,0.0263468,9977.592,0,9977.592,0,8000,4.000092,7996,0,NaN,9.635298E+14,NaN,50000,0,50000,0,0.3730534,0.1872996,0,0,0,0,0,0,0.4284201,0,0,0,0.4590319,0.7300872,0.4715316,0.1323321,0,0,0,0,0.4322279,0
59,1.967685,0.027315,9977.588,0,9977.588,0,8000,4.000092,7996,0,NaN,9.635294E+14,NaN,50000,0,50000,0,0.3844749,0.192958,0,0,0,0,0,0,0.5685402,0,0,0,0.5320405,0.320144,0.6942396,0.2851415,0,0,0,0,0.3681157,0
60,1.994328,0.0266426,9977.588,0,9977.588,0,8000,4.000092,7996,0,NaN,9.635294E+14,NaN,50000,0,50000,0,0.3936473,0.1975389,0,0,0,0,0,0,0.4668743,0,0,0,0.3625498,0.3460928,0.5409483,0.1589794,0,0,0,0,0.4081397,0
61,2.020552,0.0262247,9977.598,0,9977.598,0,8000,4.000092,7996,0,NaN,9.635303E+14,NaN,50000,0,50000,0,0.4047307,0.2030432,0,0,0,0,0,0,0.5531238,0,0,0,0.4187736,0.2321223,0.77366,0.5093722,0,0,0,0,0.4417454,0
62,2.046678,0.0261258,9977.599,0,9977.599,0,8000,4.000092,7996,0,NaN,9.635305E+14,NaN,50000,0,50000,0,0.4165503,0.2089065,0,0,0,0,0,0,0.6767262,0,0,0,0.526144,0.4378082,0.4690826,0.203865,0,0,0,0,0.3917713,0
63,2.073134,0.0264561,9977.596,0,9977.596,0,8000,4.000092,7996,0,NaN,9.635302E+14,NaN,50000,0,50000,0,0.4300142,0.2157651,0,0,0,0,0,0,0.6500386,0,0,0,0.6159263,0.5947899,0.6268114,0.4928733,0,0,0,0,0.7843475,0
64,2.09927,0.0261355,9977.598,0,9977.598,0,8000,4.000092,7996,0,NaN,9.635303E+14,NaN,50000,0,50000,0,0.4424301,0.2220688,0,0,0,0,0,0,0.4790008,0,0,0,0.31886,0.656961,0.3636233,0.5583297,0,0,0,0,0.55281,0
65,2.125475,0.0262052,9977.594,0,9977.594,0,8000,4.000092,7996,0,NaN,9.6353E+14,NaN,50000,0,50000,0,0.4541393,0.2278185,0,0,0,0,0,0,0.4778249,0,0,0,0.545678,0.7403295,0.5027289,0.5385789,0,0,0,0,0.4687938,0
66,2.152625,0.0271504,9977.584,0,9977.584,0,8000,4.000092,7996,0,NaN,9.635291E+14,NaN,50000,0,50000,0,0.4658781,0.2335054,0,0,0,0,0,0,0.6042802,0,0,0,0.6874577,0.4290262,0.9257489,0.3464261,0,0,0,0,0.4874185,0
67,2.17893,0.0263043,9977.577,0,9977.577,0,8000,4.000092,7996,0,NaN,9.635284E+14,NaN,50000,0,50000,0,0.478037,0.2396352,0,0,0,0,0,0,0.3918786,0,0,0,0.8911341,0.4162726,0.8964552,0.5308009,0,0,0,0,0.6033292,0
68,2.205362,0.026432,9977.581,0,9977.581,0,8000,4.000092,7996,0,NaN,9.635288E+14,NaN,50000,0,50000,0,0.4885083,0.2450092,0,0,0,0,0,0,0.5302163,0,0,0,0.5558363,0.286935,0.3708047,0.2835373,0,0,0,0,0.2581574,0
69,2.231641,0.0262791,9977.581,0,9977.581,0,8000,4.000092,7996,0,NaN,9.635288E+14,NaN,50000,0,50000,0,0.5016078,0.2513079,0,0,0,0,0,0,0.3512273,0,0,0,0.604223,1.120003,0.7424998,0.3149881,0,0,0,0,0.5376023,0
70,2.258573,0.0269324,9977.586,0,9977.586,0,8000,4.000092,7996,0,NaN,9.635293E+14,NaN,50000,0,50000,0,0.5136724,0.2572899,0,0,0,0,0,0,0.6007331,0,0,0,0.4338655,0.7727939,0.7699426,0.3959724,0,0,0,0,0.4673404,0
71,2.284408,0.0258348,9977.594,0,9977.594,0,8000,4.000092,7996,0,NaN,9.6353E+14,NaN,50000,0,50000,0,0.5262631,0.2635416,0,0,0,0,0,0,0.4527258,0,0,0,0.4430313,0.5480592,0.4754911,0.3876457,0,0,0,0,0.5859626,0
